AT90CAN128 Pin Map

AT90CAN128 ArduinoDigitalPin
PA0	   0
PA1	   1
PA2	   2
PA3	   3
PA4	   4
PA5	   5
PA6	   6
PA7	   7
PB0	   8
PB1	   9
PB2	   10
PB3	   11
PB4	   12
PB5	   13
PB6	   14
PB7	   15
PC0	   16
PC1	   17
PC2	   18
PC3	   19
PC4	   20
PC5	   21
PC6	   22
PC7	   23
PD0	   24
PD1	   25
PD2	   26
PD3	   27
PD4	   28
PD5	   29
PD6	   30
PD7	   31
PE0	   32
PE1	   33
PE2	   34
PE3	   35
PE4	   36
PE5	   37
PE6	   38
PE7	   39
PG0	   40
PG1	   41
PG2	   42
PG3	   43
PG4	   44
PF0	   45
PF1	   46
PF2	   47
PF3	   48
